"","ProfileOutput"
"Position","Intensity"
"m","Counts"
5.286324e-08,2.698261e+04
5.293171e-08,2.666747e+04
5.300019e-08,2.638846e+04
5.306866e-08,2.642004e+04
5.313714e-08,2.645708e+04
5.320562e-08,2.669916e+04
5.327409e-08,2.696041e+04
5.334257e-08,2.747519e+04
5.341104e-08,2.787139e+04
5.347952e-08,2.833714e+04
5.354799e-08,2.907711e+04
5.361647e-08,3.004521e+04
5.368494e-08,3.072345e+04
5.375342e-08,3.143995e+04
5.382190e-08,3.216397e+04
5.389037e-08,3.278105e+04
5.395885e-08,3.336528e+04
5.402732e-08,3.394252e+04
5.409580e-08,3.443534e+04
5.416427e-08,3.473026e+04
5.423275e-08,3.512068e+04
5.430123e-08,3.539005e+04
5.436970e-08,3.542948e+04
5.443818e-08,3.554806e+04
5.450665e-08,3.552496e+04
5.457513e-08,3.535856e+04
5.464360e-08,3.507310e+04
5.471208e-08,3.476248e+04
5.478056e-08,3.434691e+04
5.484903e-08,3.385252e+04
5.491751e-08,3.317199e+04
5.498598e-08,3.248690e+04
5.505446e-08,3.174223e+04
5.512293e-08,3.106595e+04
5.519141e-08,3.038046e+04
5.525989e-08,2.951884e+04
5.532836e-08,2.876495e+04
5.539684e-08,2.802527e+04
5.546531e-08,2.738463e+04
5.553379e-08,2.689010e+04
5.560226e-08,2.654724e+04
5.567074e-08,2.626137e+04
5.573922e-08,2.595204e+04
5.580769e-08,2.595228e+04
5.587617e-08,2.615646e+04
5.594464e-08,2.628546e+04
5.601312e-08,2.663731e+04
5.608159e-08,2.701339e+04
5.615007e-08,2.749500e+04
5.621855e-08,2.816066e+04
5.628702e-08,2.902904e+04
5.635550e-08,2.981242e+04
5.642397e-08,3.054249e+04
5.649245e-08,3.125860e+04
5.656092e-08,3.204147e+04
5.662940e-08,3.264790e+04
5.669788e-08,3.324616e+04
5.676635e-08,3.369234e+04
5.683483e-08,3.423978e+04
5.690330e-08,3.460804e+04
5.697178e-08,3.493671e+04
5.704025e-08,3.496879e+04
5.710873e-08,3.511443e+04
5.717721e-08,3.514225e+04
5.724568e-08,3.498407e+04
5.731416e-08,3.479533e+04
5.738263e-08,3.442532e+04
5.745111e-08,3.385032e+04
5.751958e-08,3.350419e+04
5.758806e-08,3.288348e+04
5.765654e-08,3.217714e+04
5.772501e-08,3.139085e+04
5.779349e-08,3.062089e+04
5.786196e-08,2.975056e+04
5.793044e-08,2.901195e+04
5.799891e-08,2.832366e+04
5.806739e-08,2.770608e+04
5.813587e-08,2.713809e+04
5.820434e-08,2.652226e+04
5.827282e-08,2.597675e+04
5.834129e-08,2.569040e+04
5.840977e-08,2.536862e+04
5.847824e-08,2.530459e+04
5.854672e-08,2.523341e+04
5.861519e-08,2.538557e+04
5.868367e-08,2.556454e+04
5.875215e-08,2.582169e+04
5.882062e-08,2.641724e+04
5.888910e-08,2.710302e+04
5.895757e-08,2.806889e+04
5.902605e-08,2.896161e+04
5.909452e-08,2.991271e+04
